time_s,Thumb
3.7640,-1.00000
3.7810,-1.00000
3.7980,-1.00000
3.8150,-1.00000
3.8310,-1.00000
3.8470,-1.00000
3.8640,-1.00000
3.8800,-1.00000
3.8960,-1.00000
3.9130,-1.00000
3.9300,-1.00000
3.9460,-1.00000
3.9630,-1.00000
3.9790,-1.00000
3.9960,-1.00000
4.0120,-1.00000
4.0290,-1.00000
4.0450,-1.00000
4.0610,-1.00000
4.0780,-1.00000
4.0940,-1.00000
4.1100,-1.00000
4.1270,-1.00000
4.1440,-1.00000
4.1600,-1.00000
4.1770,-1.00000
4.1940,-1.00000
4.2110,-1.00000
4.2270,-1.00000
4.2440,-1.00000
4.2600,-1.00000
4.2780,-1.00000
4.2940,-1.00000
4.3100,-1.00000
4.3270,-1.00000
4.3440,-1.00000
4.3610,-1.00000
4.3780,-1.00000
4.3940,-1.00000
4.4110,-1.00000
4.4270,-1.00000
4.4440,-1.00000
4.4600,-1.00000
4.4770,-1.00000
4.4940,-1.00000
4.5100,-1.00000
4.5260,-1.00000
4.5430,-1.00000
4.5600,-1.00000
4.5760,-1.00000
4.5930,-1.00000
4.6100,-1.00000
4.6270,-1.00000
4.6430,-1.00000
4.6610,-1.00000
4.6780,-1.00000
4.6950,-1.00000
4.7120,-1.00000
4.7300,-1.00000
4.7470,-1.00000
4.7650,-1.00000
4.7820,-1.00000
4.7990,-1.00000
4.8160,-1.00000
4.8320,-1.00000
4.8480,-1.00000
4.8640,-1.00000
4.8810,-1.00000
4.8980,-1.00000
4.9140,-1.00000
4.9310,-1.00000
4.9480,-1.00000
4.9640,-1.00000
4.9800,-1.00000
4.9970,-1.00000
5.0140,-1.00000
5.0310,-1.00000
5.0480,-1.00000
5.0660,-1.00000
5.0820,-1.00000
5.0990,-1.00000
5.1160,-1.00000
5.1320,-1.00000
5.1480,-1.00000
5.1650,-1.00000
5.1810,-1.00000
5.1980,-1.00000
5.2150,-1.00000
5.2310,-1.00000
5.2480,-1.00000
5.2650,-1.00000
5.2820,-1.00000
5.2980,-1.00000
5.3140,-1.00000
5.3310,-1.00000
5.3470,-1.00000
5.3640,-1.00000
5.3800,-1.00000
5.3970,-1.00000
5.4140,-1.00000
5.4310,-1.00000
5.4480,-1.00000
5.4640,-1.00000
5.4810,-1.00000
5.4980,-1.00000
5.5140,-1.00000
5.5300,-1.00000
5.5460,-1.00000
5.5620,-1.00000
5.5790,-1.00000
5.5960,-1.00000
5.6120,-1.00000
5.6290,-1.00000
5.6460,-1.00000
5.6620,-1.00000
5.6780,-1.00000
5.6940,-1.00000
5.7110,-1.00000
5.7280,-1.00000
5.7450,-1.00000
5.7610,-1.00000
5.7780,-1.00000
5.7940,-1.00000
5.8110,-1.00000
5.8270,-1.00000
5.8430,-1.00000
5.8600,-1.00000
5.8770,-1.00000
5.8940,-1.00000
5.9110,-1.00000
5.9270,-1.00000
5.9450,-1.00000
5.9620,-1.00000
5.9780,-1.00000
5.9950,-1.00000
6.0120,-1.00000
6.0290,-1.00000
