time_s,Thumb
9.4170,-1.00000
9.4350,-1.00000
9.4520,-1.00000
9.4680,-1.00000
9.4840,-1.00000
9.5010,-1.00000
9.5180,-1.00000
9.5350,-1.00000
9.5520,-1.00000
9.5690,-1.00000
9.5860,-1.00000
9.6030,-1.00000
9.6200,-1.00000
9.6370,-1.00000
9.6530,-1.00000
9.6690,-1.00000
9.6860,-1.00000
9.7020,-1.00000
9.7190,-1.00000
9.7360,-1.00000
9.7530,-1.00000
9.7690,-1.00000
9.7860,-1.00000
9.8030,-1.00000
9.8200,-1.00000
9.8360,-1.00000
9.8520,-1.00000
9.8680,-1.00000
9.8840,-1.00000
9.9010,-1.00000
9.9170,-1.00000
9.9330,-1.00000
9.9500,-1.00000
9.9670,-1.00000
9.9840,-1.00000
10.0010,-1.00000
10.0180,-1.00000
10.0340,-1.00000
10.0510,-1.00000
10.0680,-1.00000
10.0840,-1.00000
10.1000,-1.00000
10.1170,-1.00000
10.1340,-1.00000
10.1500,-1.00000
10.1660,-1.00000
10.1820,-1.00000
10.1990,-1.00000
10.2160,-1.00000
10.2330,-1.00000
10.2490,-1.00000
10.2660,-1.00000
10.2830,-1.00000
10.2990,-1.00000
10.3160,-1.00000
10.3320,-1.00000
10.3490,-1.00000
10.3660,-1.00000
10.3830,-1.00000
10.3990,-1.00000
10.4150,-1.00000
10.4320,-1.00000
10.4480,-1.00000
10.4640,-1.00000
10.4810,-1.00000
10.4980,-1.00000
10.5150,-1.00000
10.5320,-1.00000
10.5500,-1.00000
10.5670,-1.00000
10.5830,-1.00000
10.6000,-1.00000
10.6160,-1.00000
10.6330,-1.00000
10.6500,-1.00000
10.6670,-1.00000
10.6830,-1.00000
10.6990,-1.00000
10.7160,-1.00000
10.7330,-1.00000
10.7500,-1.00000
10.7660,-1.00000
10.7830,-1.00000
10.7990,-1.00000
10.8150,-1.00000
10.8320,-1.00000
10.8490,-1.00000
10.8650,-1.00000
10.8820,-1.00000
10.8990,-1.00000
10.9160,-1.00000
10.9320,-1.00000
10.9480,-1.00000
10.9640,-1.00000
10.9810,-1.00000
10.9970,-1.00000
11.0130,-1.00000
11.0300,-1.00000
11.0460,-1.00000
11.0630,-1.00000
11.0800,-1.00000
11.0970,-1.00000
11.1140,-1.00000
11.1310,-1.00000
11.1480,-1.00000
11.1640,-1.00000
11.1800,-1.00000
11.1970,-1.00000
11.2140,-1.00000
11.2310,-1.00000
11.2480,-1.00000
11.2650,-1.00000
11.2820,-1.00000
11.2990,-1.00000
11.3160,-1.00000
11.3330,-1.00000
11.3500,-1.00000
11.3670,-1.00000
11.3850,-1.00000
11.4010,-1.00000
11.4180,-1.00000
11.4350,-1.00000
11.4510,-1.00000
11.4670,-1.00000
11.4840,-1.00000
11.5000,-1.00000
11.5170,-1.00000
11.5340,-1.00000
11.5500,-1.00000
11.5680,-1.00000
11.5840,-1.00000
11.6000,-1.00000
11.6160,-1.00000
11.6320,-1.00000
11.6490,-1.00000
11.6650,-1.00000
11.6820,-1.00000
11.6980,-1.00000
11.7150,-1.00000
11.7310,-1.00000
11.7480,-1.00000
11.7640,-1.00000
11.7810,-1.00000
11.7970,-1.00000
11.8130,-1.00000
11.8300,-1.00000
11.8460,-1.00000
11.8630,-1.00000
11.8810,-1.00000
11.8990,-1.00000
11.9150,-1.00000
11.9330,-1.00000
11.9490,-1.00000
11.9660,-1.00000
11.9820,-1.00000
11.9980,-1.00000
12.0150,-1.00000
12.0310,-1.00000
12.0480,-1.00000
12.0650,-1.00000
12.0820,-1.00000
12.0980,-1.00000
12.1140,-1.00000
12.1300,-1.00000
12.1470,-1.00000
12.1640,-1.00000
12.1800,-1.00000
12.1960,-1.00000
12.2120,-1.00000
12.2290,-1.00000
12.2460,-1.00000
12.2620,-1.00000
12.2790,-1.00000
12.2950,-1.00000
12.3120,-1.00000
12.3290,-1.00000
12.3450,-1.00000
12.3620,-1.00000
12.3790,-1.00000
12.3950,-1.00000
12.4120,-1.00000
12.4290,-1.00000
12.4460,-1.00000
12.4640,-1.00000
12.4800,-1.00000
12.4970,-1.00000
12.5130,-1.00000
12.5290,-1.00000
12.5460,-1.00000
12.5630,-1.00000
12.5800,-1.00000
12.5970,-1.00000
12.6140,-1.00000
12.6300,-1.00000
12.6470,-1.00000
12.6630,-1.00000
12.6810,-1.00000
12.6980,-1.00000
12.7140,-1.00000
12.7300,-1.00000
12.7470,-1.00000
12.7640,-1.00000
12.7800,-1.00000
12.7970,-1.00000
12.8150,-1.00000
12.8320,-1.00000
12.8500,-1.00000
12.8670,-1.00000
12.8830,-1.00000
12.9000,-1.00000
12.9160,-1.00000
12.9330,-1.00000
12.9500,-1.00000
12.9660,-1.00000
12.9830,-1.00000
13.0000,-1.00000
13.0170,-1.00000
13.0340,-1.00000
13.0510,-1.00000
13.0680,-1.00000
13.0850,-1.00000
13.1010,-1.00000
13.1170,-1.00000
13.1340,-1.00000
13.1500,-1.00000
13.1670,-1.00000
13.1850,-1.00000
13.2010,-1.00000
13.2170,-1.00000
13.2330,-1.00000
13.2500,-1.00000
13.2660,-1.00000
13.2820,-1.00000
13.2980,-1.00000
13.3160,-1.00000
13.3330,-1.00000
