#,Thumb,Index,Middle,Ring,Pinky
calib_closed,166786.55,645400.19,210874.66,159935.43,246920.50
calib_half,168166.05,536475.05,195054.10,150579.83,220416.28
calib_open,165513.87,491235.01,179621.84,142322.23,195716.00
calib_span,1272.68,154165.18,31252.82,17613.20,51204.50

time_s,Thumb,Index,Middle,Ring,Pinky,ch15,ch16,ch17
7.1920,1.00000,1.00000,1.00000,1.00000,0.41103,0.26840,-0.18230,-0.91550
7.2080,1.00000,1.00000,1.00000,1.00000,0.41452,0.26960,-0.17470,-0.93260
7.2240,1.00000,1.00000,1.00000,1.00000,0.40678,0.26640,-0.15620,-0.92940
7.2400,1.00000,1.00000,1.00000,1.00000,0.40995,0.27110,-0.16150,-0.92700
7.2560,1.00000,1.00000,1.00000,1.00000,0.40900,0.27330,-0.16370,-0.92330
7.2720,1.00000,1.00000,1.00000,1.00000,0.40900,0.27330,-0.16370,-0.92330
7.2880,1.00000,1.00000,1.00000,1.00000,0.40900,0.27330,-0.16370,-0.92330
7.3060,1.00000,1.00000,1.00000,1.00000,0.40900,0.27330,-0.16370,-0.92330
7.3220,1.00000,1.00000,1.00000,1.00000,0.41059,0.29260,-0.17570,-0.91600
7.3390,1.00000,1.00000,1.00000,1.00000,0.41122,0.28110,-0.17400,-0.92110
7.3560,1.00000,1.00000,1.00000,1.00000,0.41122,0.28110,-0.17400,-0.92110
7.3730,1.00000,1.00000,1.00000,1.00000,0.41217,0.28010,-0.18910,-0.90960
7.3890,1.00000,1.00000,1.00000,1.00000,0.41280,0.27570,-0.18620,-0.91380
7.4050,1.00000,1.00000,1.00000,1.00000,0.41280,0.27570,-0.18620,-0.91380
7.4220,1.00000,1.00000,1.00000,1.00000,0.41280,0.27570,-0.18620,-0.91380
7.4380,1.00000,1.00000,1.00000,1.00000,0.41217,0.26640,-0.16080,-0.92820
7.4550,1.00000,1.00000,1.00000,1.00000,0.41376,0.29060,-0.18010,-0.92790
7.4710,1.00000,1.00000,1.00000,1.00000,0.41376,0.29060,-0.18010,-0.92790
7.4870,1.00000,1.00000,1.00000,1.00000,0.41376,0.29060,-0.18010,-0.92790
7.5030,1.00000,1.00000,1.00000,1.00000,0.41408,0.29010,-0.16250,-0.91330
7.5200,1.00000,1.00000,1.00000,1.00000,0.41376,0.28790,-0.15270,-0.89670
