#,Thumb,Index,Middle,Ring,Pinky,ch15,ch16,ch17
2.4330,-1.00000,0.95907,0.00000,0.87146,1.00000,0.22250,0.23420,-0.92040
2.4490,-1.00000,0.96030,0.00000,0.86953,1.00000,0.22230,0.25790,-0.91700
2.4660,-1.00000,0.96184,0.00000,0.87405,1.00000,0.22450,0.25060,-0.91620
2.4820,-1.00000,0.96184,0.00000,0.87405,1.00000,0.22450,0.25060,-0.91620
2.4980,-1.00000,0.96184,0.00000,0.87405,1.00000,0.22450,0.25060,-0.91620
2.5160,-1.00000,0.96369,0.00000,0.86695,1.00000,0.22570,0.24840,-0.91330
2.5330,-1.00000,0.96554,0.00000,0.87729,1.00000,0.22330,0.22790,-0.92180
2.5490,-1.00000,0.96554,0.00000,0.87729,1.00000,0.22330,0.22790,-0.92180
2.5650,-1.00000,0.96309,0.00000,0.87985,1.00000,0.22010,0.24330,-0.92110
2.5820,-1.00000,0.95756,0.00000,0.88371,1.00000,0.21980,0.24030,-0.91330
2.5990,-1.00000,0.95756,0.00000,0.88371,1.00000,0.21980,0.24030,-0.91330
2.6160,-1.00000,0.95756,0.00000,0.88371,1.00000,0.21980,0.24030,-0.91330
2.6320,-1.00000,0.95941,0.00000,0.87465,1.00000,0.21980,0.23640,-0.92260
2.6480,-1.00000,0.95787,0.00000,0.87659,1.00000,0.22620,0.25670,-0.91450
2.6640,-1.00000,0.95787,0.00000,0.87659,1.00000,0.22620,0.25670,-0.91450
2.6810,-1.00000,0.95787,0.00000,0.87659,1.00000,0.22620,0.25670,-0.91450
2.6970,-1.00000,0.95572,0.00000,0.88564,1.00000,0.22470,0.23160,-0.91960
2.7140,-1.00000,0.95357,0.00000,0.88885,1.00000,0.22620,0.23400,-0.92180
2.7300,-1.00000,0.95357,0.00000,0.88885,1.00000,0.22620,0.23400,-0.92180
2.7460,-1.00000,0.95234,0.00000,0.88432,1.00000,0.22570,0.25280,-0.91400
2.7630,0.01723,0.94988,0.00000,0.88433,1.00000,0.22200,0.24740,-0.91090
2.7800,0.01723,0.94988,0.00000,0.88433,1.00000,0.22200,0.24740,-0.91090
2.7960,0.01723,0.94988,0.00000,0.88433,1.00000,0.22200,0.24740,-0.91090
2.8120,0.00856,0.95448,0.00000,0.88175,1.00000,0.22200,0.25600,-0.93160
2.8290,0.00856,0.95448,0.00000,0.88175,1.00000,0.22200,0.25600,-0.93160
2.8460,0.00856,0.95448,0.00000,0.88175,1.00000,0.22200,0.25600,-0.93160
2.8620,0.00856,0.95448,0.00000,0.88175,1.00000,0.22200,0.25600,-0.93160
2.8790,0.00557,0.95447,-0.28881,0.88048,1.00000,0.21940,0.21980,-0.91260
2.8960,0.00557,0.95447,-0.28881,0.88048,1.00000,0.21940,0.21980,-0.91260
2.9120,0.00557,0.95447,-0.28881,0.88048,1.00000,0.21940,0.21980,-0.91260
2.9280,0.01730,0.95416,-0.32556,0.87273,1.00000,0.22250,0.26640,-0.91480
2.9440,0.02906,0.95385,-0.29294,0.87598,1.00000,0.22060,0.24570,-0.91840
2.9610,0.02906,0.95385,-0.29294,0.87598,1.00000,0.22060,0.24570,-0.91840
2.9780,0.02906,0.95385,-0.29294,0.87598,1.00000,0.22060,0.24570,-0.91840
2.9940,0.02074,0.95478,-0.32038,0.87790,1.00000,0.22230,0.22350,-0.90520
3.0110,0.03838,0.95478,-0.38644,0.87082,1.00000,0.22520,0.23010,-0.92330
3.0280,0.03838,0.95478,-0.38644,0.87082,1.00000,0.22520,0.23010,-0.92330
3.0450,0.03838,0.95478,-0.38644,0.87082,1.00000,0.22520,0.23010,-0.92330
3.0610,0.02064,0.95232,-0.41799,0.87081,1.00000,0.22770,0.24010,-0.92260
3.0780,0.02064,0.95232,-0.41799,0.87081,1.00000,0.22770,0.24010,-0.92260
3.0950,0.02064,0.95232,-0.41799,0.87081,1.00000,0.22770,0.24010,-0.92260
3.1110,0.01774,0.95079,-0.34379,0.86951,1.00000,0.21960,0.24250,-0.91180
3.1270,0.01774,0.95079,-0.34379,0.86951,1.00000,0.21960,0.24250,-0.91180
3.1430,0.01774,0.95079,-0.34379,0.86951,1.00000,0.21960,0.24250,-0.91180
3.1590,0.01774,0.95079,-0.34379,0.86951,1.00000,0.21960,0.24250,-0.91180
3.1760,0.05283,0.94774,-0.45032,0.86111,1.00000,0.22160,0.24330,-0.91350
3.1920,0.03232,0.94467,0.00000,0.86435,1.00000,0.22370,0.24300,-0.92480
3.2090,0.03232,0.94467,0.00000,0.86435,1.00000,0.22370,0.24300,-0.92480
3.2260,0.03232,0.94467,0.00000,0.86435,1.00000,0.22370,0.24300,-0.92480
3.2430,-1.00000,0.94191,0.00000,0.86686,1.00000,0.22400,0.24960,-0.92400
3.2590,-1.00000,0.94191,0.00000,0.86686,1.00000,0.22400,0.24960,-0.92400
3.2760,-1.00000,0.94191,0.00000,0.86686,1.00000,0.22400,0.24960,-0.92400
3.2920,-1.00000,0.94927,0.00000,0.86429,1.00000,0.22230,0.24670,-0.91740
3.3080,-1.00000,0.95080,0.00000,0.86945,1.00000,0.22470,0.24940,-0.92160
3.3240,-1.00000,0.95080,0.00000,0.86945,1.00000,0.22470,0.24940,-0.92160
3.3400,-1.00000,0.95080,0.00000,0.86945,1.00000,0.22470,0.24940,-0.92160
3.3560,-1.00000,0.95541,0.00000,0.87397,1.00000,0.22670,0.24690,-0.91790
3.3720,-1.00000,0.95541,0.00000,0.87397,1.00000,0.22670,0.24690,-0.91790
3.3880,-1.00000,0.95541,0.00000,0.87397,1.00000,0.22670,0.24690,-0.91790
