time_s,Thumb
1.8430,-0.44054
1.8600,-0.44054
1.8760,-0.44054
1.8930,-0.44054
1.9100,-0.44054
1.9270,-0.44054
1.9430,-0.44054
1.9600,-0.44054
1.9770,-0.44054
1.9930,-0.44054
2.0090,-0.44054
2.0260,-0.44054
2.0430,-0.44054
2.0590,-0.44054
2.0760,-0.44054
2.0920,-0.44054
2.1090,-0.44054
2.1250,-0.44054
2.1420,-0.44054
2.1590,-0.44054
2.1770,-0.44054
2.1940,-0.44054
2.2100,-0.44054
2.2270,-0.44054
2.2430,-0.44054
2.2590,-0.44054
2.2760,-0.44054
2.2930,-0.44054
2.3090,-0.44054
2.3250,-0.44054
2.3420,-0.44054
2.3580,-0.44054
2.3750,-0.44054
2.3910,-0.44054
2.4070,-0.44054
2.4250,-0.44054
2.4420,-0.44054
2.4580,-0.44054
2.4740,-0.44054
2.4910,-0.44054
2.5070,-0.44054
2.5240,-0.44054
2.5410,-0.44054
2.5580,-0.44054
2.5740,-0.44054
2.5910,-0.44054
2.6080,-0.44054
2.6250,-0.44054
2.6420,-0.44054
2.6590,-0.44054
2.6750,-0.44054
2.6920,-0.44054
2.7080,-0.44054
2.7240,-0.44054
2.7410,-0.44054
2.7570,-0.44054
2.7750,-0.44054
2.7920,-0.44054
2.8090,-0.44054
2.8250,-0.44054
2.8420,-0.44054
2.8580,-0.44054
2.8750,-0.44054
2.8920,-0.44054
2.9090,-0.44054
2.9250,-0.44054
2.9420,-0.44054
2.9590,-0.44054
2.9750,-0.44054
2.9920,-0.44054
3.0080,-0.44054
3.0250,-0.44054
3.0420,-0.44054
3.0590,-0.44054
3.0750,-0.44054
3.0920,-0.44054
3.1090,-0.44054
3.1260,-0.44054
3.1430,-0.44054
3.1600,-0.44054
3.1770,-0.44054
3.1940,-0.44054
3.2110,-0.44054
3.2280,-0.44054
3.2450,-0.44054
3.2610,-0.44054
3.2780,-0.44054
3.2940,-0.44054
3.3110,-0.44054
3.3280,-0.44054
3.3450,-0.44054
3.3620,-0.44054
3.3790,-0.44054
3.3960,-0.44054
3.4120,-0.44054
3.4290,-0.44054
3.4450,-0.44054
3.4620,-0.44054
3.4790,-0.44054
3.4960,-0.44054
3.5120,-0.44054
3.5290,-0.44054
3.5460,-0.44054
3.5620,-0.44054
3.5790,-0.44054
3.5960,-0.44054
3.6130,-0.44054
3.6300,-0.44054
3.6460,-0.44054
3.6630,-0.44054
3.6800,-0.44054
3.6970,-0.44054
3.7140,-0.44054
3.7310,-0.44054
3.7480,-0.44054
3.7650,-0.53263
3.7830,-0.53263
3.7990,-0.53263
3.8160,-0.55298
3.8330,-0.55298
3.8500,-0.55298
3.8670,-0.55298
3.8830,-0.55298
3.9000,-0.55298
3.9160,-0.55298
3.9330,-0.55298
3.9500,-0.56810
3.9670,-0.56810
3.9840,-0.56810
4.0010,-0.56621
4.0180,-0.56621
4.0350,-0.56621
4.0520,-0.56621
4.0690,-0.46579
4.0850,-0.44848
4.1020,-0.44848
4.1190,-0.44054
4.1360,-0.44054
4.1540,-0.44054
4.1710,-0.44054
4.1880,-0.44054
4.2060,-0.44054
4.2230,-0.44054
4.2390,-0.44054
4.2560,-0.44054
4.2730,-0.44054
4.2900,-0.44054
4.3070,-0.44054
4.3230,-0.44054
4.3400,-0.44054
4.3560,-0.44054
4.3720,-0.44054
4.3880,-0.44054
4.4050,-0.44054
4.4210,-0.44054
4.4370,-0.44054
4.4540,-0.44054
4.4710,-0.44054
4.4870,-0.44054
4.5030,-0.44054
4.5200,-0.44054
4.5370,-0.44054
4.5540,-0.44054
4.5710,-0.44054
4.5880,-0.44054
4.6040,-0.44054
4.6210,-0.44054
4.6380,-0.44054
4.6540,-0.44054
4.6710,-0.44054
4.6880,-0.44054
