#,Thumb,Index,Middle,Ring,Pinky,ch15,ch16,ch17
2.0300,0.97542,0.91306,1.00000,1.00000,0.80257,0.33940,-0.07980,-0.90600
2.0460,0.97681,0.91522,1.00000,1.00000,0.79893,0.33400,-0.10080,-0.91090
2.0630,0.97681,0.91522,1.00000,1.00000,0.79893,0.33400,-0.10080,-0.91090
2.0790,0.97681,0.91522,1.00000,1.00000,0.79893,0.33400,-0.10080,-0.91090
2.0950,0.97681,0.91522,1.00000,1.00000,0.79731,0.34060,-0.08590,-0.90180
2.1110,0.97543,0.91595,1.00000,1.00000,0.79487,0.32820,-0.06690,-0.90620
2.1280,0.97543,0.91595,1.00000,1.00000,0.79487,0.32820,-0.06690,-0.90620
2.1450,0.97543,0.91595,1.00000,1.00000,0.79487,0.32820,-0.06690,-0.90620
2.1620,0.97577,0.91595,1.00000,1.00000,0.79325,0.32890,-0.07470,-0.91450
2.1790,0.97577,0.91595,1.00000,1.00000,0.79325,0.32890,-0.07470,-0.91450
2.1960,0.97577,0.91595,1.00000,1.00000,0.79325,0.32890,-0.07470,-0.91450
2.2120,0.97577,0.91595,1.00000,1.00000,0.79325,0.32890,-0.07470,-0.91450
2.2280,0.97923,0.91232,1.00000,1.00000,0.78918,0.34670,-0.09150,-0.90940
2.2440,0.97992,0.91051,1.00000,1.00000,0.78959,0.33960,-0.09080,-0.91450
2.2610,0.97992,0.91051,1.00000,1.00000,0.78959,0.33960,-0.09080,-0.91450
2.2770,0.97992,0.91122,1.00000,1.00000,0.78878,0.33280,-0.07730,-0.90230
2.2940,0.97610,0.90649,1.00000,1.00000,0.78227,0.32960,-0.08220,-0.91870
2.3100,0.97610,0.90649,1.00000,1.00000,0.78227,0.32960,-0.08220,-0.91870
2.3270,0.97610,0.90649,1.00000,1.00000,0.78227,0.32960,-0.08220,-0.91870
2.3440,0.97679,0.89889,1.00000,1.00000,0.77860,0.33700,-0.09150,-0.91840
2.3620,0.97679,0.89889,1.00000,1.00000,0.77860,0.33700,-0.09150,-0.91840
2.3780,0.97679,0.89889,1.00000,1.00000,0.77860,0.33700,-0.09150,-0.91840
2.3940,0.97921,0.89634,1.00000,1.00000,0.77738,0.32940,-0.06780,-0.91110
2.4100,0.98128,0.89344,1.00000,1.00000,0.77494,0.33480,-0.08540,-0.91260
2.4270,0.98128,0.89344,1.00000,1.00000,0.77494,0.33480,-0.08540,-0.91260
2.4430,0.98128,0.89344,1.00000,1.00000,0.77494,0.33480,-0.08540,-0.91260
2.4590,0.97852,0.89307,1.00000,1.00000,0.76354,0.32700,-0.06470,-0.90180
2.4760,0.97852,0.89307,1.00000,1.00000,0.76354,0.32700,-0.06470,-0.90180
2.4920,0.97852,0.89307,1.00000,1.00000,0.76354,0.32700,-0.06470,-0.90180
2.5080,0.97852,0.89307,1.00000,1.00000,0.76354,0.32700,-0.06470,-0.90180
2.5240,0.98025,0.88691,1.00000,1.00000,0.75540,0.32500,-0.07050,-0.90790
2.5400,0.98025,0.88691,1.00000,1.00000,0.75540,0.32500,-0.07050,-0.90790
2.5570,0.98025,0.88691,1.00000,1.00000,0.75540,0.32500,-0.07050,-0.90790
2.5740,0.97956,0.88654,1.00000,1.00000,0.75295,0.32310,-0.05690,-0.91010
2.5910,0.98026,0.88691,1.00000,1.00000,0.74889,0.32620,-0.10000,-0.90720
2.6090,0.98026,0.88691,1.00000,1.00000,0.74889,0.32620,-0.10000,-0.90720
2.6260,0.98026,0.88691,1.00000,1.00000,0.74889,0.32620,-0.10000,-0.90720
2.6430,0.97715,0.88837,1.00000,1.00000,0.74808,0.32570,-0.10050,-0.89570
2.6600,0.97715,0.88837,1.00000,1.00000,0.74808,0.32570,-0.10050,-0.89570
2.6760,0.97715,0.88837,1.00000,1.00000,0.74808,0.32570,-0.10050,-0.89570
2.6930,0.97715,0.88837,1.00000,1.00000,0.74808,0.32570,-0.10050,-0.89570
2.7100,0.97126,0.88909,1.00000,1.00000,0.72443,0.32770,-0.08560,-0.92330
2.7260,0.97057,0.89018,1.00000,1.00000,0.72484,0.33350,-0.09470,-0.91480
2.7430,0.97057,0.89018,1.00000,1.00000,0.72484,0.33350,-0.09470,-0.91480
2.7610,0.97126,0.89878,1.00000,1.00000,0.72361,0.33500,-0.09780,-0.90840
2.7780,0.97126,0.89878,1.00000,1.00000,0.72361,0.33500,-0.09780,-0.90840
2.7940,0.97126,0.89878,1.00000,1.00000,0.72361,0.33500,-0.09780,-0.90840
