time_s,Thumb,Index,Middle,Ring,Pinky
2.3490,-1.00000,-0.52241,-0.17756,-0.45369,-0.63479
2.3650,-1.00000,-0.52241,-0.17756,-0.45369,-0.63479
2.3830,-1.00000,-0.52825,-0.16921,-0.44713,-0.61198
2.3990,-1.00000,-0.36342,-0.12632,-0.40842,-0.58737
2.4150,-1.00000,-0.36342,-0.12632,-0.40842,-0.58737
2.4310,-1.00000,-0.36342,-0.12632,-0.40842,-0.58737
2.4480,-1.00000,-0.36342,-0.09199,-0.37110,-0.55071
2.4640,-1.00000,-0.36342,-0.09199,-0.37110,-0.55071
2.4810,-1.00000,-0.36342,-0.09199,-0.37110,-0.55071
2.4970,-1.00000,-0.36342,-0.09199,-0.37110,-0.55071
2.5140,-1.00000,-0.36342,-0.08275,-0.35821,-0.53799
2.5300,-1.00000,-0.36342,-0.08275,-0.35821,-0.53799
2.5460,-1.00000,-0.36342,-0.08275,-0.35821,-0.53799
2.5620,-1.00000,-0.36342,-0.08275,-0.35821,-0.53799
2.5790,-1.00000,-0.36342,-0.08275,-0.35821,-0.53799
2.5950,-1.00000,-0.36342,-0.08275,-0.35821,-0.53799
2.6110,-1.00000,-0.36342,-0.08275,-0.35821,-0.53799
2.6280,-1.00000,-0.36342,-0.08275,-0.35821,-0.53799
2.6450,-1.00000,-0.36342,-0.08275,-0.35821,-0.53799
2.6610,-1.00000,-0.36342,-0.08275,-0.35821,-0.53799
2.6780,-1.00000,-0.36342,-0.08275,-0.35821,-0.53799
2.6940,0.25509,-1.00000,0.02849,-0.23552,-0.41456
2.7110,0.36714,-1.00000,0.05888,-0.19495,-0.36905
2.7280,0.36714,-1.00000,0.05888,-0.19495,-0.36905
2.7450,0.51629,-1.00000,0.08873,-0.17507,-0.33449
2.7620,0.60476,-1.00000,0.08337,-0.19290,-0.34485
2.7780,0.60476,-1.00000,0.08337,-0.19290,-0.34485
2.7940,0.60476,-1.00000,0.08337,-0.19290,-0.34485
2.8120,0.66133,-1.00000,0.07803,-0.20272,-0.35606
2.8280,0.66133,-1.00000,0.07803,-0.20272,-0.35606
2.8450,0.66133,-1.00000,0.07803,-0.20272,-0.35606
2.8630,0.66133,-1.00000,0.07803,-0.20272,-0.35606
2.8800,0.68154,-1.00000,0.07670,-0.21159,-0.38035
2.8960,0.68154,-1.00000,0.07670,-0.21159,-0.38035
2.9130,0.68154,-1.00000,0.07670,-0.21159,-0.38035
2.9300,0.87065,-1.00000,0.06247,-0.22603,-0.40740
2.9470,1.00000,-1.00000,0.05174,-0.23300,-0.42426
2.9640,1.00000,-1.00000,0.05174,-0.23300,-0.42426
2.9800,1.00000,-1.00000,0.05174,-0.23300,-0.42426
2.9970,1.00000,-1.00000,0.05174,-0.23300,-0.42426
3.0130,1.00000,-1.00000,0.05174,-0.23300,-0.42426
3.0300,1.00000,-1.00000,0.05174,-0.23300,-0.42426
3.0470,1.00000,-1.00000,0.04442,-0.24539,-0.44705
3.0640,1.00000,-1.00000,0.04442,-0.24539,-0.44705
3.0820,1.00000,-1.00000,0.04442,-0.24539,-0.44705
3.0980,1.00000,-1.00000,0.04442,-0.24539,-0.44705
3.1140,1.00000,-0.82278,0.00837,-0.30298,-0.52577
3.1300,1.00000,-0.82278,0.00837,-0.30298,-0.52577
3.1470,1.00000,-0.82278,0.00837,-0.30298,-0.52577
3.1640,1.00000,-0.71436,0.00065,-0.31938,-0.53850
